data,algorithm,split,source_row,y_true
C1,RandomForestRegressor,Train,190,31.2926
C1,RandomForestRegressor,Train,546,3.124
C1,RandomForestRegressor,Train,580,201.6556
C1,RandomForestRegressor,Train,328,9
C1,RandomForestRegressor,Train,343,6.4011
C1,RandomForestRegressor,Train,324,8
C1,RandomForestRegressor,Train,35,163.7025
C1,RandomForestRegressor,Train,657,12.7399
C1,RandomForestRegressor,Train,400,213.0824
C1,RandomForestRegressor,Train,298,198
C1,RandomForestRegressor,Train,509,0.8453
C1,RandomForestRegressor,Train,426,4.4132
C1,RandomForestRegressor,Train,119,13.7934
C1,RandomForestRegressor,Train,642,7.6923
C1,RandomForestRegressor,Train,74,53.0534
C1,RandomForestRegressor,Train,602,10.7843
C1,RandomForestRegressor,Train,574,177.8478
C1,RandomForestRegressor,Train,106,15.3742
C1,RandomForestRegressor,Test,458,0.186
C1,RandomForestRegressor,Test,641,7.2398
C1,RandomForestRegressor,Test,318,9.6
C1,RandomForestRegressor,Test,436,0.5022
C1,RandomForestRegressor,Test,283,16.2
C1,RandomForestRegressor,Test,24,190.4266
C1,RandomForestRegressor,Test,473,2.613
C1,RandomForestRegressor,Test,29,189
C1,RandomForestRegressor,Test,282,16.3
C1,RandomForestRegressor,Test,362,6.4279
C1,RandomForestRegressor,Test,104,11.6415
C1,RandomForestRegressor,Test,617,33.0317
C1,RandomForestRegressor,Test,229,0
C1,RandomForestRegressor,Test,404,250.7447
C1,RandomForestRegressor,Test,209,111.1716
C1,RandomForestRegressor,Test,613,190.898
C1,RandomForestRegressor,Test,621,4.5249
C1,RandomForestRegressor,Test,604,10.9963
C1,RandomForestRegressor,Test,659,15.0992
C1,RandomForestRegressor,Test,600,9.8831
C1,RandomForestRegressor,Test,670,5.4838
C1,RandomForestRegressor,Test,526,-0.2037
C1,RandomForestRegressor,Test,115,13.052
C1,RandomForestRegressor,Test,635,192.7602
C1,RandomForestRegressor,Test,434,0.2912
C1,RandomForestRegressor,Test,59,68.9452
C1,RandomForestRegressor,Test,503,0.2767
C1,RandomForestRegressor,Test,631,185.9728
C1,RandomForestRegressor,Test,270,15.1055
C1,RandomForestRegressor,Test,259,58
C1,RandomForestRegressor,Test,625,120.8145
C1,RandomForestRegressor,Test,367,16.087
C1,RandomForestRegressor,Test,336,0.1123
C1,RandomForestRegressor,Test,226,145.1216
C1,RandomForestRegressor,Test,477,2.7581
C1,RandomForestRegressor,Test,181,18.4769
C1,RandomForestRegressor,Test,427,4.5124
C1,RandomForestRegressor,Test,294,249
C1,RandomForestRegressor,Test,8,206.3056
C1,RandomForestRegressor,Test,238,0
C1,RandomForestRegressor,Test,533,1.0549
C1,RandomForestRegressor,Test,586,206.4247
C1,RandomForestRegressor,Test,160,89.7899
C1,RandomForestRegressor,Test,505,0.4294
C1,RandomForestRegressor,Test,272,16.0074
C1,RandomForestRegressor,Test,12,106.0565
C1,RandomForestRegressor,Test,598,9.1233
C1,RandomForestRegressor,Test,138,4.1633
C1,RandomForestRegressor,Test,652,175.5656
C1,RandomForestRegressor,Test,485,0.5314
C1,RandomForestRegressor,Test,646,9.9547
C1,RandomForestRegressor,Test,583,202.3422
C1,RandomForestRegressor,Test,200,64.3502
C1,RandomForestRegressor,Test,237,0
C1,RandomForestRegressor,Test,591,4.8793
C1,RandomForestRegressor,Test,265,12
C1,RandomForestRegressor,Test,76,59.3029
C1,RandomForestRegressor,Test,57,69.7061
C1,RandomForestRegressor,Test,307,180
C1,RandomForestRegressor,Test,46,99.3482
C1,RandomForestRegressor,Test,447,2.16
C1,RandomForestRegressor,Test,481,0.2188
C1,RandomForestRegressor,Test,597,5.0142
C1,RandomForestRegressor,Test,520,0.7869
C1,RandomForestRegressor,Test,148,7.5219
C1,RandomForestRegressor,Test,412,2.25
C1,RandomForestRegressor,Test,246,14
C1,RandomForestRegressor,Test,255,18
C1,RandomForestRegressor,Test,575,192.2679
C1,RandomForestRegressor,Test,114,11.8012
C1,RandomForestRegressor,Test,441,0.9063
C1,RandomForestRegressor,Test,405,259.154
C1,RandomForestRegressor,Test,278,27.2644
C1,RandomForestRegressor,Test,430,0.125
C1,RandomForestRegressor,Test,490,-0.453
C1,RandomForestRegressor,Test,608,189.3702
C1,RandomForestRegressor,Test,199,52.5128
C1,RandomForestRegressor,Test,353,10.6981
C1,RandomForestRegressor,Test,673,5.4839
C1,RandomForestRegressor,Test,135,3.1846
C1,RandomForestRegressor,Test,130,13.7867
