data,algorithm,split,source_row,y_true
feature selected,PyTorch_TabularMLP,Train,241,18
feature selected,PyTorch_TabularMLP,Train,195,98.0734
feature selected,PyTorch_TabularMLP,Train,182,40.2656
feature selected,PyTorch_TabularMLP,Train,351,9.76
feature selected,PyTorch_TabularMLP,Train,385,266.4502
feature selected,PyTorch_TabularMLP,Train,296,210
feature selected,PyTorch_TabularMLP,Train,478,0.0625
feature selected,PyTorch_TabularMLP,Train,399,206.4592
feature selected,PyTorch_TabularMLP,Train,155,42.7149
feature selected,PyTorch_TabularMLP,Train,299,160
feature selected,PyTorch_TabularMLP,Train,56,71.4614
feature selected,PyTorch_TabularMLP,Train,11,55.825
feature selected,PyTorch_TabularMLP,Train,178,32.7076
feature selected,PyTorch_TabularMLP,Train,603,10.7927
feature selected,PyTorch_TabularMLP,Train,663,3.9662
feature selected,PyTorch_TabularMLP,Train,5,178.1616
feature selected,PyTorch_TabularMLP,Train,263,36
feature selected,PyTorch_TabularMLP,Train,300,115
feature selected,PyTorch_TabularMLP,Train,669,4.6774
feature selected,PyTorch_TabularMLP,Train,315,0
feature selected,PyTorch_TabularMLP,Train,518,0.541
feature selected,PyTorch_TabularMLP,Train,216,75.6454
feature selected,PyTorch_TabularMLP,Train,22,169.1834
feature selected,PyTorch_TabularMLP,Train,397,178.0901
feature selected,PyTorch_TabularMLP,Train,609,190.1513
feature selected,PyTorch_TabularMLP,Train,121,14.8143
feature selected,PyTorch_TabularMLP,Train,628,128.5068
feature selected,PyTorch_TabularMLP,Train,177,15.8993
feature selected,PyTorch_TabularMLP,Train,61,45.1337
feature selected,PyTorch_TabularMLP,Train,501,0.8787
feature selected,PyTorch_TabularMLP,Train,243,17
feature selected,PyTorch_TabularMLP,Train,260,55
feature selected,PyTorch_TabularMLP,Train,504,0.3351
feature selected,PyTorch_TabularMLP,Train,649,145.2489
feature selected,PyTorch_TabularMLP,Train,127,9.7231
feature selected,PyTorch_TabularMLP,Train,510,0.9325
feature selected,PyTorch_TabularMLP,Train,69,90
feature selected,PyTorch_TabularMLP,Train,303,200
feature selected,PyTorch_TabularMLP,Train,285,16.1
feature selected,PyTorch_TabularMLP,Train,194,88.3651
feature selected,PyTorch_TabularMLP,Train,415,2.6875
feature selected,PyTorch_TabularMLP,Train,253,26
feature selected,PyTorch_TabularMLP,Train,507,0.6363
feature selected,PyTorch_TabularMLP,Train,197,16.661
feature selected,PyTorch_TabularMLP,Train,84,12.411
feature selected,PyTorch_TabularMLP,Train,495,0.439
feature selected,PyTorch_TabularMLP,Train,540,0.2479
feature selected,PyTorch_TabularMLP,Train,337,0.1123
feature selected,PyTorch_TabularMLP,Train,406,0.0568
feature selected,PyTorch_TabularMLP,Train,161,95.3006
feature selected,PyTorch_TabularMLP,Train,6,196.9007
feature selected,PyTorch_TabularMLP,Train,624,113.5747
feature selected,PyTorch_TabularMLP,Train,382,176.4069
feature selected,PyTorch_TabularMLP,Train,569,117.0022
feature selected,PyTorch_TabularMLP,Train,172,8.9135
feature selected,PyTorch_TabularMLP,Train,660,19.09
feature selected,PyTorch_TabularMLP,Train,666,11.2
feature selected,PyTorch_TabularMLP,Train,488,0.6875
feature selected,PyTorch_TabularMLP,Train,191,50.0692
feature selected,PyTorch_TabularMLP,Train,379,256.0606
feature selected,PyTorch_TabularMLP,Train,545,2.9256
feature selected,PyTorch_TabularMLP,Train,218,140.1645
feature selected,PyTorch_TabularMLP,Train,416,2.75
feature selected,PyTorch_TabularMLP,Train,288,14.5
feature selected,PyTorch_TabularMLP,Train,187,67.1065
feature selected,PyTorch_TabularMLP,Train,163,2.005
feature selected,PyTorch_TabularMLP,Train,543,2.033
feature selected,PyTorch_TabularMLP,Train,124,4.7621
feature selected,PyTorch_TabularMLP,Train,463,0.6518
feature selected,PyTorch_TabularMLP,Train,157,70.5282
feature selected,PyTorch_TabularMLP,Train,236,0
feature selected,PyTorch_TabularMLP,Train,129,11.7748
feature selected,PyTorch_TabularMLP,Train,134,4.7968
feature selected,PyTorch_TabularMLP,Train,570,120.2191
feature selected,PyTorch_TabularMLP,Train,616,32.1267
feature selected,PyTorch_TabularMLP,Train,634,177.3756
feature selected,PyTorch_TabularMLP,Train,13,164.5415
feature selected,PyTorch_TabularMLP,Train,245,15.5
feature selected,PyTorch_TabularMLP,Train,347,12.5401
feature selected,PyTorch_TabularMLP,Train,7,203.5289
feature selected,PyTorch_TabularMLP,Train,332,8.8
feature selected,PyTorch_TabularMLP,Train,196,10.8544
feature selected,PyTorch_TabularMLP,Train,330,9
feature selected,PyTorch_TabularMLP,Train,365,3.4934
feature selected,PyTorch_TabularMLP,Train,433,0.25
feature selected,PyTorch_TabularMLP,Train,489,0.7188
feature selected,PyTorch_TabularMLP,Train,363,5.2402
feature selected,PyTorch_TabularMLP,Train,70,30
feature selected,PyTorch_TabularMLP,Train,499,0.878
feature selected,PyTorch_TabularMLP,Train,36,171.4973
feature selected,PyTorch_TabularMLP,Train,211,143.58
feature selected,PyTorch_TabularMLP,Train,118,11.7251
feature selected,PyTorch_TabularMLP,Train,619,2.2624
feature selected,PyTorch_TabularMLP,Train,179,47.5037
feature selected,PyTorch_TabularMLP,Train,573,120.9294
feature selected,PyTorch_TabularMLP,Train,86,12.286
feature selected,PyTorch_TabularMLP,Train,661,12.93
feature selected,PyTorch_TabularMLP,Train,79,62.9884
feature selected,PyTorch_TabularMLP,Train,143,7.4165
feature selected,PyTorch_TabularMLP,Train,524,1.2789
