Biomass,Heating rate (℃/min),Pyrolysis temperature (℃),Pyrolysis time（h）,Modification method,C (%),H (%),O (%),N (%),Specific surface area (m2/g）,Pore volume (cm3/g）,Average pore size (nm),pH,Adsorption time (h),Adsorbent dosage (g/l),Adsorption temperature (℃),Initial concentration (mg/l)
-0.665250862,-2.098610289,-2.304470107,-3.736556307,-7.505755954,0.18327707374089736,-0.963860229,-0.787156368,0.3277364111204151,-6.098893973,-4.318143228,0.1923900235249884,-2.210178604,-0.214919147,-1.141259704,0.1929904978337044,-5.97721009
-3.502194997,-2.917974384,1.0866294002854797,-0.509947281,-10.63220172,-0.606431227,-1.171545087,1.3217302667296449,1.203648353,-7.000161793,-3.32225952,-1.537141648,1.7039303444314409,-0.047643968,-5.655764122,0.19750835298857117,-6.932914563
0.465184207,-1.814527587,-10.6958944,-3.638222291,-6.108277998,-0.049136701,-7.968689139,0.1481843813601085,0.8316754419390817,-6.419469764,-6.350047101,1.3253430568344655,-2.256757469,0.6941916318371691,-0.000435823,0.20956436561970135,-5.916822587
-0.181120642,-2.071512347,0.8485015561690882,-0.791931207,-3.414254786,-4.150703498,2.4520263029189597,-0.684817481,-0.32908172,-5.014451113,-1.763042038,-1.380385319,-20.98710867,1.8700299052074782,-3.501646511,-0.005110298,-4.842637493
8.477080749550256,-0.756673537,21.02697818,4.464609990621867,27.078437650446258,3.7350224380624555,-0.985777988,13.224341599853773,2.280604509909283,33.07450187621003,25.284410618524966,11.668480042713858,8.606325376528288,-22.80571809,10.121536743835332,0.17430280866758713,36.47882806434639
-7.298033079,2.281588142073089,-0.565184699,1.8032056342966538,-7.951750772,-0.708491435,0.5757691537263256,-0.305499351,-0.425017384,-2.446702045,-1.654918364,0.1559393468144858,-21.53646862,1.1018401828645972,-1.637402037,-0.020498259,-2.107599879
1.092756419574055,-1.582604481,-4.752742427,-4.735447309,-7.235139466,0.009001211,-2.298674783,-2.571716349,0.782530271,-6.31499405,-4.861417038,0.6112761324531408,-3.748535956,-5.04985144,-1.928833603,0.22649996127224406,-11.40071344
-12.28655203,0.6940497840048367,11.139629736644366,2.639987387528379,5.872180925284523,1.0514595669113025,12.479247885835361,-3.546068223,1.3311447505358684,23.841913280100506,73.80137159374152,-13.23824549,17.85141267713434,-33.7291677,9.024712182512628,-3.350099689,51.364037111047644
-0.545778666,-2.717147778,-4.292053195,-4.309369803,-7.62253928,-0.073171823,-2.018440805,-2.831486086,0.9689713587356407,-3.637947003,-3.740392044,0.6742529045728318,-3.754438089,-4.485980019,-0.309875183,0.2194256966372588,-8.698696401
3.384391915745442,7.879758434007334,-4.211284641,1.208672501,7.342559132867368,0.12658892754354867,-0.052281362,7.768042578968987,0.5801877462489292,-2.852678953,3.569419533871252,-0.381586307,-1.64063163,-1.137689407,12.117657383677365,0.28238756,-31.72543857
2.5635780155661534,2.9826075728205206,-1.289790416,3.1614793923807163,-22.90906252,-1.684885529,0.34299987518281655,-1.591863873,-23.52327149,-10.19414077,-7.841523526,-1.65285831,3.638670137654023,5.468679533298525,-2.909691876,-3.968249698,21.450533886257965
-0.565592141,-1.853371855,1.1239757693433663,2.226479209896549,-11.11530913,-1.107381321,1.7792471620502157,-1.68145869,0.15642553334641235,-7.955496597,-3.531449067,-0.602389889,-3.054974682,-9.18316686,-5.455199559,0.3511019443433156,-9.576123507
16.959494745673737,-5.110909407,6.987343510210477,7.961977785622594,14.337774765599935,2.2581322222527205,6.405485946,-2.117631398,8.246522067,10.484902772569265,1.4166426749890784,8.460689272739238,-7.652898961,8.051813881011306,2.2514288046624706,0.5641873953273716,76.15000767
3.2558184230450182,4.129657946485216,-2.557861721,1.1831723402326457,11.434074501287258,0.4787804228026901,0.5436668653547047,5.707621996,0.081833092,-0.24771023,6.863155129322651,-0.320515783,-1.281809892,5.5900219578926995,11.347869380521683,-5.261621325,23.823261258398368
-12.13435702,-0.212599324,13.330054403938716,2.342995449782801,3.670542418722958,0.6991383965880735,12.280031439181014,-4.792581071,1.364677017075116,23.760626166822956,72.52274618,-14.4891345,17.32936064143127,-46.52426635,9.504026704367499,-4.338461292,51.23330885715256
4.7980367669704425,6.341063813724153,0.9087393828077382,6.684067427374048,37.215572601753735,-2.999006474,6.533836247028107,-0.572755995,-3.751954928,6.238803258592597,0.6675598017413259,-0.562431279,-66.03989218,9.760853040923474,-3.624137088,0.08357641,26.46334476
