data,algorithm,split,source_row,y_pred
C1,RandomForestRegressor,Train,519,0.756536167
C1,RandomForestRegressor,Train,231,2.084021133
C1,RandomForestRegressor,Train,141,6.137855667
C1,RandomForestRegressor,Train,410,1.321428833
C1,RandomForestRegressor,Train,279,23.91245583
C1,RandomForestRegressor,Train,228,3.560829056
C1,RandomForestRegressor,Train,224,74.58359667
C1,RandomForestRegressor,Train,95,19.09868233
C1,RandomForestRegressor,Train,248,24.57253592
C1,RandomForestRegressor,Train,31,146.4071127
C1,RandomForestRegressor,Train,81,57.82454317
C1,RandomForestRegressor,Train,568,113.837614
C1,RandomForestRegressor,Train,553,23.630165
C1,RandomForestRegressor,Train,449,2.661147
C1,RandomForestRegressor,Train,387,235.0779383
C1,RandomForestRegressor,Train,174,9.358510833
C1,RandomForestRegressor,Train,630,151.4800608
C1,RandomForestRegressor,Train,240,20.36253592
C1,RandomForestRegressor,Train,358,13.92957738
C1,RandomForestRegressor,Train,19,179.1006847
C1,RandomForestRegressor,Train,645,12.95440433
C1,RandomForestRegressor,Train,189,18.07904083
C1,RandomForestRegressor,Train,643,10.71942317
C1,RandomForestRegressor,Train,63,70.24939533
C1,RandomForestRegressor,Train,205,24.57253592
C1,RandomForestRegressor,Train,325,9.477101611
C1,RandomForestRegressor,Train,329,9.585960317
C1,RandomForestRegressor,Train,368,29.79741133
C1,RandomForestRegressor,Train,321,9.556908
C1,RandomForestRegressor,Train,565,28.29975283
C1,RandomForestRegressor,Train,77,62.5019935
C1,RandomForestRegressor,Train,674,9.532501
C1,RandomForestRegressor,Train,190,28.45492883
C1,RandomForestRegressor,Train,546,2.945144167
C1,RandomForestRegressor,Train,580,196.3935102
C1,RandomForestRegressor,Train,328,9.388934685
C1,RandomForestRegressor,Train,343,5.325742422
C1,RandomForestRegressor,Train,324,8.5901655
C1,RandomForestRegressor,Train,35,158.1310774
C1,RandomForestRegressor,Train,657,12.09212583
C1,RandomForestRegressor,Train,400,208.6216265
C1,RandomForestRegressor,Train,298,186.7617842
C1,RandomForestRegressor,Train,509,0.8287995
C1,RandomForestRegressor,Train,426,4.198003
C1,RandomForestRegressor,Train,119,13.86971325
C1,RandomForestRegressor,Train,642,18.56246467
C1,RandomForestRegressor,Train,74,55.7073945
C1,RandomForestRegressor,Train,602,12.6304185
C1,RandomForestRegressor,Train,574,173.5773415
C1,RandomForestRegressor,Train,106,16.3273825
C1,RandomForestRegressor,Test,458,0.430488333
C1,RandomForestRegressor,Test,641,22.648867
C1,RandomForestRegressor,Test,318,9.628060889
C1,RandomForestRegressor,Test,436,0.781811667
C1,RandomForestRegressor,Test,283,16.70828817
C1,RandomForestRegressor,Test,24,180.1170684
C1,RandomForestRegressor,Test,473,2.447445333
C1,RandomForestRegressor,Test,29,167.8514156
C1,RandomForestRegressor,Test,282,18.39460367
C1,RandomForestRegressor,Test,362,7.287633839
C1,RandomForestRegressor,Test,104,16.41165417
C1,RandomForestRegressor,Test,617,37.43356267
C1,RandomForestRegressor,Test,229,3.496670222
C1,RandomForestRegressor,Test,404,233.2940755
C1,RandomForestRegressor,Test,209,93.13277158
C1,RandomForestRegressor,Test,613,186.0722602
C1,RandomForestRegressor,Test,621,28.19282467
C1,RandomForestRegressor,Test,604,17.64997183
C1,RandomForestRegressor,Test,659,15.08817517
C1,RandomForestRegressor,Test,600,15.0188565
C1,RandomForestRegressor,Test,670,5.287817167
C1,RandomForestRegressor,Test,526,-0.0345785
C1,RandomForestRegressor,Test,115,20.21167317
C1,RandomForestRegressor,Test,635,169.749432
C1,RandomForestRegressor,Test,434,0.639605333
C1,RandomForestRegressor,Test,59,67.0862105
C1,RandomForestRegressor,Test,503,0.2271995
C1,RandomForestRegressor,Test,631,171.207493
C1,RandomForestRegressor,Test,270,13.408132
C1,RandomForestRegressor,Test,259,51.53078366
C1,RandomForestRegressor,Test,625,109.4868108
C1,RandomForestRegressor,Test,367,52.30688133
C1,RandomForestRegressor,Test,336,0.331188
C1,RandomForestRegressor,Test,226,124.6454707
C1,RandomForestRegressor,Test,477,2.379277833
C1,RandomForestRegressor,Test,181,22.065115
C1,RandomForestRegressor,Test,427,4.096914333
